TranactionCode,TransactionDate,CancelDate,TransactonNumber,CheckNumber,Payee,ReferenceNumber,CurrencyCode,BankID,ReferenceNumber,OutstandingBalance,CanceledAmount
SLE – Securities Related Item – Securities lending related,1/12/2012,2/6/2012,684457776,7,Replenishment,40150584,JPY,0532-0160-7,40150584,8072617.06,4727.21
CMI – Cash management item – No detail,1/6/2012,1/30/2012,824475555,5,Checking Costs,49799136,JPY,0313-0912-3,49799136,14063351.63,2610.61
WAR – Securities Related Item – Warrant,1/27/2012,1/29/2012,552853752,4,Transfer,8417611,EUR,0611-1341-5,8417611,9106772.8,3628.15
COM – Commission,1/3/2012,1/10/2012,219371987,51,Misc.,41925497,EUR,0312-0471-0,41925497,11457263.48,5872.07
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/20/2012,1/30/2012,500862972,2,Deposits,17346443,EUR,0839-0068-0,17346443,17156884.78,2577.9
MSC – Miscellaneous,1/22/2012,2/9/2012,919073194,3,Other,16844835,GBP,0421-0226-7,16844835,17919164.91,5577.82
POP – Securities Related Item – Pair-off proceeds,1/18/2012,1/29/2012,952787363,7,Citibank,52736030,JPY,0515-0339-4,52736030,10326850.57,3989.37
BRF – Brokerage fee,1/26/2012,2/20/2012,58727498,52,Replenishment,94306415,GBP,0312-0471-0,94306415,911498.81,3182.58
REC – Securities Related Item – Tax reclaim,1/30/2012,2/4/2012,12172031,5,Investment deposit,35962842,GBP,0839-7428-9,35962842,11067147.76,5065.39
CPN – Securities Related Item – Coupon payments,1/10/2012,1/26/2012,788943225,8,Replenishment,22797378,USD,0839-7428-9,22797378,7545579.07,4855
TRA – Securities Related Item – Internal transfer for own account,1/22/2012,2/7/2012,565497574,3,Replenishment,57003375,GBP,0540-0154-7,57003375,15896366.04,5940.27
TCK – Travellers cheques,1/17/2012,1/19/2012,84312133,7,Citibank,73741349,USD,1110-1769-4,73741349,9323544.96,4523.15
POP – Securities Related Item – Pair-off proceeds,1/1/2012,1/18/2012,532686037,3,Investment deposit,28838994,GBP,0514-0426-0,28838994,12517739.83,6037.95
LDP – Loan deposit,1/7/2012,1/28/2012,501532735,2,Replenishment,23078804,USD,0839-0068-0,23078804,13007186.74,681.6
SEC – Securities (used when entering a principal amount),1/20/2012,1/24/2012,408646030,1,Other,33804526,GBP,0532-0160-7,33804526,1178580.87,1804.71
COL – Collections (used when entering a principal amount),1/1/2012,1/23/2012,138602110,3,Other,71290394,USD,0532-0160-7,71290394,4620793.28,948.06
INT – Interest,1/25/2012,2/23/2012,934808001,9,Other,78775990,USD,0540-0154-7,78775990,6976031.72,1542.75
CMI – Cash management item – No detail,1/28/2012,2/23/2012,817513102,6,Investment deposit,50616294,JPY,0839-0068-0,50616294,15692391.83,4984.93
BNK – Securities Related Item – Bank fees,1/1/2012,1/17/2012,446854108,3,Misc.,49826635,GBP,0611-1341-5,49826635,6108103.69,5053.45
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/22/2012,2/20/2012,851326113,3,Transfer,6419160,JPY,0313-0912-3,6419160,6937782.09,573.31
CMI – Cash management item – No detail,1/17/2012,2/9/2012,687409803,7,Citibank,93424968,USD,1110-1769-4,93424968,14578987.94,5570.13
TRA – Securities Related Item – Internal transfer for own account,1/29/2012,1/30/2012,586625751,7,Service Charge,39069925,GBP,0642-0816-5,39069925,5150578.06,580.54
CMS – Cash management item – Sweeping,1/12/2012,2/4/2012,357023418,3,Citibank,70385274,GBP,0421-0226-7,70385274,17368968.63,1327.81
DDT – Direct Debit Item,1/19/2012,2/2/2012,898917184,2,Checking Costs,67192048,EUR,0550-0330-8,67192048,2595127.85,3917.47
TAX – Securities Related Item – Withholding tax payment,1/15/2012,1/26/2012,206218298,5,Investment deposit,74535765,GBP,0514-0426-0,74535765,2591128.48,414.94
COL – Collections (used when entering a principal amount),1/7/2012,1/21/2012,346630555,7,Other,34874523,EUR,0611-1341-5,34874523,2027629.31,4272.13
LBX – Lock box,1/1/2012,1/6/2012,948848760,9,Investment deposit,38016298,USD,0531-0112-1,38016298,17503710.5,3112.21
SUB – Securities Related Item – Subscription,1/13/2012,1/20/2012,813591486,4,Transfer,34435958,EUR,0839-0068-0,34435958,11541038,1056.73
CMS – Cash management item – Sweeping,1/2/2012,1/27/2012,210027886,1,Deposits,46238658,JPY,0642-0816-5,46238658,17586151.3,4523.07
CMI – Cash management item – No detail,1/9/2012,1/18/2012,553364726,4,Misc.,42907256,JPY,0421-0226-7,42907256,4884521.02,1882.92
EQA – Equivalent amount,1/29/2012,2/26/2012,199832788,7,Investment deposit,65230310,GBP,0839-7428-9,65230310,3699242,786.71
OPT – Securities Related Item – Options,1/13/2012,2/5/2012,199126971,3,Investment deposit,16708216,JPY,0839-0068-0,16708216,13198481.07,1194.7
WAR – Securities Related Item – Warrant,1/9/2012,1/30/2012,753082394,6,Misc.,93756392,USD,0540-0154-7,93756392,8798188.46,4340.54
CMT – Cash management item -Topping,1/1/2012,1/16/2012,235441398,5,Misc.,8556778,EUR,0531-0112-1,8556778,13083543.35,1746.16
SEC – Securities (used when entering a principal amount),1/21/2012,1/31/2012,661137448,9,Misc.,95583796,USD,2631-9138-7,95583796,18001024.83,5954.68
PRN – Securities Related Item – Principal pay-down/pay-up,1/8/2012,1/9/2012,612425935,5,Deposits,26562086,USD,0313-0912-3,26562086,7342678.02,5111.03
WAR – Securities Related Item – Warrant,1/30/2012,2/18/2012,777776565,3,Replenishment,6506190,GBP,0550-0330-8,6506190,328005.57,3672.05
PRN – Securities Related Item – Principal pay-down/pay-up,1/13/2012,1/16/2012,560970370,4,Investment deposit,18083171,GBP,0540-0154-7,18083171,12882441.91,6360
COL – Collections (used when entering a principal amount),1/22/2012,2/13/2012,651923542,6,Checking Costs,81109184,EUR,0313-0912-3,81109184,5711073.35,5847.75
CMT – Cash management item -Topping,1/6/2012,1/9/2012,844932186,2,Replenishment,29740321,JPY,0611-1341-5,29740321,6497247.89,3491.33
TCM – Securities Related Item – Tripartite collateral management,1/19/2012,2/11/2012,813880642,8,Transfer,24774909,GBP,1110-1769-4,24774909,1394106.3,3445.15
LDP – Loan deposit,1/18/2012,2/3/2012,372895815,5,Service Charge,60467306,USD,0531-0112-1,60467306,9852622.59,1038.84
CMP – Compensation claims,1/9/2012,1/25/2012,258179578,1,Other,10753792,USD,0540-0154-7,10753792,760469.61,2498.38
FEX – Foreign exchange,1/19/2012,2/15/2012,586835878,3,Citibank,375369,EUR,0611-1341-5,375369,14750637.8,507.17
CAS – Securities Related Item – Cash in Lieu,1/25/2012,2/22/2012,171446010,2,Replenishment,34790211,GBP,1110-1769-4,34790211,17610749.35,460.18
STP – Securities Related Item – Stamp duty,1/7/2012,1/18/2012,145464356,8,Replenishment,15283687,GBP,0531-0112-1,15283687,7873407.06,4284.44
REC – Securities Related Item – Tax reclaim,1/14/2012,2/9/2012,145096175,3,Transfer,54491371,EUR,0532-0160-7,54491371,8415818.22,2944.27
ODC – Overdraft charge,1/18/2012,1/19/2012,333028345,8,Transfer,35089785,EUR,0622-0398-4,35089785,1113928.83,2459.87
TAX – Securities Related Item – Withholding tax payment,1/11/2012,2/9/2012,705881155,9,Transfer,81015153,JPY,0642-0816-5,81015153,16499671.61,4060.78
MSC – Miscellaneous,1/21/2012,2/17/2012,849784189,53,Replenishment,59694021,JPY,0312-0471-0,59694021,5671469.28,3385.18
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/12/2012,2/7/2012,189111709,4,Checking Costs,98598942,GBP,0839-0068-0,98598942,10458124.48,8.63
UWC – Securities Related Item – Underwriting commission,1/20/2012,1/30/2012,954351027,1,Service Charge,50775885,GBP,0839-7428-9,50775885,12180905.3,1016.2
TCM – Securities Related Item – Tripartite collateral management,1/11/2012,1/15/2012,865323336,5,Investment deposit,26612542,GBP,1110-1769-4,26612542,16196886.43,1203.06
CMT – Cash management item -Topping,1/28/2012,1/31/2012,536347296,7,Investment deposit,80855457,GBP,0421-0226-7,80855457,11785445.44,299.66
INT – Interest,1/17/2012,2/12/2012,372784046,6,Replenishment,17954509,EUR,1110-1769-4,17954509,30220.04,5371.17
COM – Commission,1/22/2012,2/9/2012,326797297,1,Transfer,44311268,GBP,0622-0398-4,44311268,8348375.85,193.6
CMP – Compensation claims,1/5/2012,1/12/2012,65414853,3,Investment deposit,49263194,EUR,0421-0226-7,49263194,13757699.83,773.06
FEX – Foreign exchange,1/4/2012,1/14/2012,886437738,7,Checking Costs,98736090,GBP,0611-1341-5,98736090,15501424.7,2588.32
DIV – Securities Related Item – Dividends,1/24/2012,2/11/2012,101702977,5,Service Charge,20622856,JPY,0550-0330-8,20622856,1706987.54,3589.54
TCK – Travellers cheques,1/13/2012,2/3/2012,698234509,54,Citibank,88021862,JPY,0312-0471-0,88021862,13474906.98,4369.1
CLR – Cash letters/Cheques remittance,1/20/2012,2/9/2012,839430085,6,Service Charge,18515176,USD,1110-1769-4,18515176,4839057.85,5333.83
DCR – Documentary credit (used when entering a principal amount),1/12/2012,1/12/2012,109691068,4,Service Charge,89183819,JPY,0514-0426-0,89183819,13375509.5,1880.42
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/30/2012,2/1/2012,719147254,8,Misc.,48218573,JPY,0642-0816-5,48218573,12294488.24,5490.62
MSC – Miscellaneous,1/2/2012,1/4/2012,579906734,9,Deposits,50874103,JPY,0550-0330-8,50874103,9459588.85,5255.18
CMT – Cash management item -Topping,1/9/2012,1/10/2012,51792538,8,Citibank,35016611,JPY,0540-0154-7,35016611,4339100.17,3033.01
INT – Interest,1/6/2012,1/16/2012,983542697,55,Replenishment,84219924,GBP,0312-0471-0,84219924,17793288.13,5326.55
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/20/2012,1/24/2012,678021249,2,Transfer,48757815,JPY,0611-1341-5,48757815,16187780.43,1524.78
SLE – Securities Related Item – Securities lending related,1/27/2012,2/8/2012,256148478,1,Checking Costs,59643597,GBP,0550-0330-8,59643597,8608758.78,1622.43
WAR – Securities Related Item – Warrant,1/7/2012,1/28/2012,225037438,8,Checking Costs,45668438,USD,0839-0068-0,45668438,16420162.31,3834.34
DIS – Securities Related Item – Gains disbursement,1/24/2012,2/5/2012,612626604,6,Other,12253949,GBP,2631-9138-7,12253949,7542904.87,4558.88
CHK – Cheques,1/11/2012,1/17/2012,401962593,5,Investment deposit,19722596,USD,0531-0112-1,19722596,14464642.56,99999
STP – Securities Related Item – Stamp duty,1/27/2012,2/16/2012,137279638,9,Replenishment,26779783,GBP,0642-0816-5,26779783,14591795.57,2764.49
DIS – Securities Related Item – Gains disbursement,1/11/2012,2/4/2012,6055364,6,Citibank,20864850,GBP,0531-0112-1,20864850,8172882.37,5585.66
TRA – Securities Related Item – Internal transfer for own account,1/30/2012,2/2/2012,21353574,7,Replenishment,77242884,GBP,0642-0816-5,77242884,9557155.69,3077.3
RTI – Returned item,1/13/2012,1/19/2012,3533514,2,Service Charge,79929603,EUR,0642-0816-5,79929603,14405996.07,3356.11
BRF – Brokerage fee,1/16/2012,2/11/2012,709224914,56,Transfer,55334765,EUR,0312-0471-0,55334765,16773179.28,4712.67
INT – Interest,1/6/2012,1/22/2012,522712343,2,Transfer,36559474,JPY,0515-0339-4,36559474,9996993.33,579.71
RED – Securities Related Item – Redemption/Withdrawal,1/24/2012,2/19/2012,547430366,5,Replenishment,62408779,JPY,0839-0068-0,62408779,13585020.44,190.25
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/7/2012,1/13/2012,674286993,2,Transfer,17815128,EUR,0839-0068-0,17815128,5967496.09,3160.4
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/18/2012,2/14/2012,11375257,4,Transfer,95299020,EUR,0839-7428-9,95299020,8515277.78,3424.65
BNK – Securities Related Item – Bank fees,1/29/2012,1/29/2012,497041768,3,Other,43562489,EUR,0515-0339-4,43562489,692736.78,2683.16
TCM – Securities Related Item – Tripartite collateral management,1/22/2012,2/4/2012,211978911,2,Service Charge,29230105,EUR,0622-0398-4,29230105,11514966.37,6108.45
CMS – Cash management item – Sweeping,1/21/2012,1/27/2012,402986043,1,Other,81878303,EUR,0540-0154-7,81878303,7337780.06,385.75
CMZ – Cash management item – Zero balancing,1/26/2012,2/7/2012,596869341,5,Misc.,92824156,JPY,2631-9138-7,92824156,2318336.17,1872.53
TCK – Travellers cheques,1/28/2012,2/18/2012,869281256,7,Checking Costs,30362772,EUR,1110-1769-4,30362772,11576916.91,3216.75
PRN – Securities Related Item – Principal pay-down/pay-up,1/7/2012,1/27/2012,443554322,57,Citibank,59710883,GBP,0312-0471-0,59710883,3247664.33,1169.73
CMN – Cash management item – Notional pooling,1/30/2012,2/10/2012,680350234,8,Checking Costs,40713463,USD,0550-0330-8,40713463,15919063.63,3806.6
NWI – Securities Related Item – New issues distribution,1/25/2012,1/29/2012,511149728,8,Service Charge,61699748,JPY,0839-0068-0,61699748,16389273.35,3786.16
LDP – Loan deposit,1/19/2012,2/13/2012,193842743,58,Checking Costs,55313424,GBP,0312-0471-0,55313424,649794.43,1383.43
CMI – Cash management item – No detail,1/28/2012,2/23/2012,648128128,2,Other,23361545,EUR,0622-0398-4,23361545,9905717.76,1799.05
TRA – Securities Related Item – Internal transfer for own account,1/3/2012,1/5/2012,740602090,3,Deposits,57762493,EUR,0421-0226-7,57762493,15114748.96,680.78
ODC – Overdraft charge,1/2/2012,1/5/2012,728362457,6,Deposits,98570193,GBP,0839-7428-9,98570193,17168621.57,3727.12
PRN – Securities Related Item – Principal pay-down/pay-up,1/7/2012,2/2/2012,379268415,7,Replenishment,39013865,USD,0839-0068-0,39013865,13633917.56,2490.65
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/18/2012,1/31/2012,321696339,7,Deposits,91230525,JPY,0839-0068-0,91230525,8907448.89,4791.62
TRF – Transfer,1/18/2012,2/15/2012,645550499,6,Service Charge,7944536,EUR,0622-0398-4,7944536,1876433.7,1264.64
SLE – Securities Related Item – Securities lending related,1/10/2012,2/5/2012,509964534,7,Service Charge,92117098,EUR,0611-1341-5,92117098,18013752.5,4647.4
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/11/2012,1/26/2012,562432646,2,Checking Costs,86332821,USD,0550-0330-8,86332821,7016247.94,6184.71
BRF – Brokerage fee,1/24/2012,2/17/2012,576571715,59,Service Charge,59187349,JPY,0312-0471-0,59187349,10726132.87,3581
OPT – Securities Related Item – Options,1/25/2012,2/3/2012,939604360,5,Replenishment,9310061,JPY,0514-0426-0,9310061,16169613.26,5984.36
TAX – Securities Related Item – Withholding tax payment,1/7/2012,2/3/2012,264002928,8,Citibank,84845694,USD,0540-0154-7,84845694,3079753.07,5574.75
LDP – Loan deposit,1/5/2012,1/31/2012,286830464,3,Citibank,46147845,JPY,0514-0426-0,46147845,3162474.87,1989.57
MAT – Securities Related Item – Maturity,1/19/2012,1/27/2012,661618852,6,Transfer,70379558,USD,0313-0912-3,70379558,18114769.67,1080.43
DIV – Securities Related Item – Dividends,1/21/2012,2/12/2012,203814829,5,Other,7577564,USD,0515-0339-4,7577564,10308705.96,3237.43
MSC – Miscellaneous,1/9/2012,2/7/2012,530110419,6,Other,14956182,EUR,1110-1769-4,14956182,6367411.44,1351.99
POP – Securities Related Item – Pair-off proceeds,1/5/2012,1/28/2012,380326042,5,Citibank,71692129,JPY,0622-0398-4,71692129,5449513.83,4416.31
NWI – Securities Related Item – New issues distribution,1/22/2012,1/26/2012,820556059,3,Misc.,6001095,JPY,2631-9138-7,6001095,11081213.78,907.15
OPT – Securities Related Item – Options,1/10/2012,1/31/2012,209758840,9,Transfer,48811224,JPY,0313-0912-3,48811224,826797.67,3606.76
EQA – Equivalent amount,1/4/2012,1/19/2012,486949648,4,Transfer,32681274,EUR,0515-0339-4,32681274,7682757.09,2753.34
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/17/2012,2/5/2012,304985912,60,Citibank,62838121,JPY,0312-0471-0,62838121,11997817.13,3694.74
PRN – Securities Related Item – Principal pay-down/pay-up,1/29/2012,2/21/2012,339088717,9,Citibank,48144626,EUR,0839-0068-0,48144626,1603085.15,5756.59
POP – Securities Related Item – Pair-off proceeds,1/26/2012,2/2/2012,927098294,3,Transfer,67981009,USD,0540-0154-7,67981009,686385.07,4922.05
BOE – Bill of exchange,1/8/2012,1/12/2012,138896304,8,Deposits,82517780,GBP,0839-0068-0,82517780,13274139.83,310.92
EXT – Securities Related Item – External transfer for own account,1/24/2012,2/18/2012,522097493,9,Service Charge,78118755,USD,0622-0398-4,78118755,17374626.89,3132.86
OPT – Securities Related Item – Options,1/3/2012,1/13/2012,672645338,7,Other,92185932,USD,0839-0068-0,92185932,16006050.57,5740.21
NWI – Securities Related Item – New issues distribution,1/1/2012,1/16/2012,650886311,6,Service Charge,71329315,JPY,0839-0068-0,71329315,893142.81,855.16
DIV – Securities Related Item – Dividends,1/14/2012,2/1/2012,505171711,6,Transfer,77680726,USD,0540-0154-7,77680726,633321.17,6356.06
INT – Interest,1/11/2012,1/18/2012,944450339,8,Transfer,36947449,USD,0540-0154-7,36947449,4123510.91,2449.33
CMN – Cash management item – Notional pooling,1/12/2012,1/16/2012,612453182,2,Other,44818518,EUR,0531-0112-1,44818518,11942690.78,2293.66
CHK – Cheques,1/22/2012,1/27/2012,391790203,9,Deposits,51776598,JPY,0611-1341-5,51776598,9599988.69,99999
EXT – Securities Related Item – External transfer for own account,1/25/2012,2/11/2012,868425646,8,Citibank,9267751,USD,1110-1769-4,9267751,1531938.04,6119.29
CMP – Compensation claims,1/7/2012,1/28/2012,151061466,5,Deposits,69923396,JPY,0532-0160-7,69923396,8127583.35,3100.67
PRN – Securities Related Item – Principal pay-down/pay-up,1/20/2012,1/29/2012,340167688,8,Citibank,92531504,USD,2631-9138-7,92531504,9484890.02,1111.97
DCR – Documentary credit (used when entering a principal amount),1/17/2012,2/8/2012,121536076,7,Misc.,65024065,USD,0622-0398-4,65024065,11547773.56,3642.68
RTI – Returned item,1/26/2012,2/4/2012,486770830,5,Replenishment,62060382,USD,2631-9138-7,62060382,15605084.37,5954.25
SLE – Securities Related Item – Securities lending related,1/21/2012,2/14/2012,813197525,5,Service Charge,65873043,USD,0611-1341-5,65873043,3892805.28,3378.45
CMZ – Cash management item – Zero balancing,1/10/2012,2/7/2012,17134754,61,Investment deposit,51518901,EUR,0312-0471-0,51518901,8835207.93,4485.88
BRF – Brokerage fee,1/2/2012,1/28/2012,821592083,2,Other,97985131,EUR,2631-9138-7,97985131,4722300.8,995.61
REC – Securities Related Item – Tax reclaim,1/2/2012,1/13/2012,515595464,7,Checking Costs,22913624,JPY,0531-0112-1,22913624,1360779,5640.49
POP – Securities Related Item – Pair-off proceeds,1/16/2012,1/21/2012,653270267,9,Citibank,66369317,EUR,0514-0426-0,66369317,12261166.43,629.89
MAR – Securities Related Item – Margin payments/Receipts,1/21/2012,1/30/2012,747505377,1,Replenishment,15062632,USD,0531-0112-1,15062632,1873901.46,1391.68
FEX – Foreign exchange,1/24/2012,2/20/2012,893806372,7,Transfer,9476463,USD,0313-0912-3,9476463,1379053.02,2199.99
CMN – Cash management item – Notional pooling,1/22/2012,1/23/2012,530941105,2,Misc.,12897835,EUR,0611-1341-5,12897835,917296.93,5747.51
BOE – Bill of exchange,1/1/2012,1/4/2012,199428527,4,Other,24930286,USD,0515-0339-4,24930286,9063825.48,4565.92
CMZ – Cash management item – Zero balancing,1/9/2012,1/16/2012,1990997,2,Other,95144181,USD,0839-7428-9,95144181,6499245.81,6254.55
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/26/2012,2/5/2012,781450014,3,Other,79091106,USD,0514-0426-0,79091106,4761257.69,2075.27
DCR – Documentary credit (used when entering a principal amount),1/27/2012,2/1/2012,750271116,1,Citibank,19866661,USD,0622-0398-4,19866661,2413710.76,456.44
BOE – Bill of exchange,1/21/2012,2/11/2012,987285864,7,Deposits,81051397,JPY,0540-0154-7,81051397,5257425.91,110.52
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/1/2012,1/28/2012,862188098,2,Transfer,4090276,USD,0540-0154-7,4090276,6120726.87,4719
TCM – Securities Related Item – Tripartite collateral management,1/17/2012,1/31/2012,630731696,8,Deposits,82273941,JPY,0421-0226-7,82273941,10428534.17,6382.52
TRA – Securities Related Item – Internal transfer for own account,1/14/2012,1/14/2012,107352972,2,Transfer,88526211,USD,0531-0112-1,88526211,8345117.8,605.31
CLR – Cash letters/Cheques remittance,1/10/2012,1/24/2012,76660148,5,Transfer,85946871,EUR,0839-0068-0,85946871,7438599.89,5397.88
MAT – Securities Related Item – Maturity,1/2/2012,1/7/2012,408683915,1,Investment deposit,72412955,GBP,2631-9138-7,72412955,13294923.28,402.25
CMS – Cash management item – Sweeping,1/11/2012,2/5/2012,11806983,7,Other,85252734,GBP,0514-0426-0,85252734,18215508.13,2982.79
WAR – Securities Related Item – Warrant,1/6/2012,1/7/2012,26303275,9,Replenishment,61221328,EUR,2631-9138-7,61221328,13885246.11,4305.71
FEX – Foreign exchange,1/28/2012,2/16/2012,239179332,7,Deposits,5367422,JPY,0514-0426-0,5367422,12533131.43,2061.44
POP – Securities Related Item – Pair-off proceeds,1/6/2012,1/17/2012,463169755,4,Transfer,4315877,USD,0839-7428-9,4315877,11188767.94,1293.14
VDA – Value date adjustment (used with an entry made to withdraw an incorrectly dated entry – it will be followed by the correct entry with the relevant code),1/30/2012,2/5/2012,474121641,6,Other,91025108,USD,0622-0398-4,91025108,461878.81,5465.57
TCK – Travellers cheques,1/1/2012,1/14/2012,294593179,62,Replenishment,8908748,JPY,0312-0471-0,8908748,7761900.54,5316.21
NWI – Securities Related Item – New issues distribution,1/25/2012,2/14/2012,366437513,7,Investment deposit,96111874,JPY,0514-0426-0,96111874,14868114.61,3339.8
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/10/2012,1/10/2012,934550070,2,Deposits,69265294,JPY,0839-7428-9,69265294,9221359.07,909.73
RIG – Securities Related Item – Rights,1/7/2012,1/10/2012,764533371,7,Checking Costs,71369681,EUR,2631-9138-7,71369681,13915315.5,5379.54
MSC – Miscellaneous,1/7/2012,1/11/2012,67335744,1,Deposits,68342745,USD,0531-0112-1,68342745,17610105.7,3194.33
BNK – Securities Related Item – Bank fees,1/1/2012,1/8/2012,310155089,4,Service Charge,47482925,USD,1110-1769-4,47482925,10841423.54,6110.04
CAR – Securities Related Item – Corporate Actions Related (Should only be used when no specific corporate action event code is available),1/2/2012,1/18/2012,54185014,7,Transfer,8371330,GBP,0550-0330-8,8371330,5609382.07,871.79
WAR – Securities Related Item – Warrant,1/9/2012,2/7/2012,12160775,1,Transfer,62370157,GBP,0313-0912-3,62370157,6871988.48,2042.86
CMN – Cash management item – Notional pooling,1/27/2012,2/14/2012,598957203,1,Misc.,53020074,EUR,0514-0426-0,53020074,12146089.59,1013.36
SLE – Securities Related Item – Securities lending related,1/4/2012,1/13/2012,216063083,3,Misc.,79817158,EUR,0421-0226-7,79817158,10359688.57,1173.61
EXT – Securities Related Item – External transfer for own account,1/16/2012,1/21/2012,991407917,8,Other,53087725,EUR,0540-0154-7,53087725,2375075.83,3794.72
TCK – Travellers cheques,1/23/2012,1/29/2012,164799103,7,Investment deposit,31958668,JPY,0514-0426-0,31958668,5443953.3,6032.92
CMZ – Cash management item – Zero balancing,1/24/2012,2/3/2012,403895770,9,Deposits,83047777,JPY,1110-1769-4,83047777,17358166.74,3639.14
SWP – Securities Related Item – SWAP payment,1/18/2012,1/21/2012,835391007,4,Service Charge,38001942,EUR,0611-1341-5,38001942,14580624.46,4665.4
CMN – Cash management item – Notional pooling,1/29/2012,2/20/2012,452045934,63,Citibank,53742472,GBP,0312-0471-0,53742472,13930651.91,1069.12
BNK – Securities Related Item – Bank fees,1/21/2012,2/7/2012,778532185,7,Other,93786486,USD,1110-1769-4,93786486,14768723.89,3524.47
BNK – Securities Related Item – Bank fees,1/22/2012,1/22/2012,277699821,7,Deposits,74363295,USD,0839-7428-9,74363295,16965618.74,4128.96
WAR – Securities Related Item – Warrant,1/30/2012,2/1/2012,963304520,6,Service Charge,94477539,EUR,0421-0226-7,94477539,2055532.48,3815.1
MSC – Miscellaneous,1/1/2012,1/2/2012,673680564,5,Other,37364333,JPY,0839-0068-0,37364333,10289357.35,4851.06
STP – Securities Related Item – Stamp duty,1/12/2012,1/16/2012,919707957,4,Investment deposit,17403846,GBP,2631-9138-7,17403846,8137796.37,2898.94
SUB – Securities Related Item – Subscription,1/20/2012,1/26/2012,358258609,2,Replenishment,47098551,EUR,0611-1341-5,47098551,4541759.07,1837.52
TCK – Travellers cheques,1/13/2012,1/18/2012,158710972,1,Replenishment,28126054,USD,0839-0068-0,28126054,1050317.07,2910.97
CLR – Cash letters/Cheques remittance,1/23/2012,2/15/2012,546346790,5,Other,26685317,JPY,2631-9138-7,26685317,3105522.06,4824.1
CPN – Securities Related Item – Coupon payments,1/1/2012,1/19/2012,999243232,5,Investment deposit,51985255,JPY,0622-0398-4,51985255,3056868.07,834.07
TCK – Travellers cheques,1/4/2012,1/5/2012,590333259,7,Other,31770759,EUR,0642-0816-5,31770759,8371730.19,4389.71
RED – Securities Related Item – Redemption/Withdrawal,1/15/2012,1/16/2012,536403295,5,Citibank,73515014,EUR,0642-0816-5,73515014,8424246.33,2168.06
RIG – Securities Related Item – Rights,1/24/2012,2/12/2012,788958755,3,Service Charge,68259817,USD,0839-7428-9,68259817,18148592.39,2984.41
CHK – Cheques,1/22/2012,2/16/2012,606613450,64,Misc.,42394639,USD,0312-0471-0,42394639,8821007.56,99999
ODC – Overdraft charge,1/26/2012,2/20/2012,16499589,1,Investment deposit,27859032,USD,2631-9138-7,27859032,9906340.3,200.36
CLR – Cash letters/Cheques remittance,1/13/2012,1/14/2012,372543825,65,Service Charge,99687685,USD,0312-0471-0,99687685,4118493.07,469.8
EQA – Equivalent amount,1/1/2012,1/5/2012,125162000,8,Investment deposit,14657503,GBP,0540-0154-7,14657503,18110577.24,5177.47
SAL – Securities Related Item – Sale (including STIF and Time deposits),1/8/2012,2/6/2012,778194477,5,Citibank,98186073,GBP,2631-9138-7,98186073,13930239.54,5058.23
REC – Securities Related Item – Tax reclaim,1/20/2012,1/23/2012,901773696,2,Misc.,2656594,EUR,0421-0226-7,2656594,8538.85,1864.12
ODC – Overdraft charge,1/1/2012,1/9/2012,738354207,9,Misc.,77224689,GBP,0622-0398-4,77224689,18292344.59,3113.99
ODC – Overdraft charge,1/12/2012,1/21/2012,591077341,1,Replenishment,7187361,USD,0421-0226-7,7187361,15365593.5,164.11
EQA – Equivalent amount,1/22/2012,2/16/2012,204385127,66,Deposits,47904857,GBP,0312-0471-0,47904857,10677130.06,5596.4
BNK – Securities Related Item – Bank fees,1/9/2012,1/21/2012,825248519,2,Service Charge,64417834,USD,0622-0398-4,64417834,15072380.87,4274.48
DCR – Documentary credit (used when entering a principal amount),1/2/2012,1/30/2012,649886272,6,Checking Costs,86183213,JPY,0839-7428-9,86183213,8903447.02,4624.47
POP – Securities Related Item – Pair-off proceeds,1/10/2012,1/19/2012,374016113,5,Citibank,72397186,JPY,0421-0226-7,72397186,5166889.83,1361.86
CMZ – Cash management item – Zero balancing,1/1/2012,1/17/2012,901456986,6,Investment deposit,10687920,USD,0421-0226-7,10687920,5672065.31,2538.12
