RunDate,PickupLocation,DropoffLocation,Primary,Seconday,VehicleType,EventType,Overnight,TipGrade, CustomerType, Guide, Issues, TypeOfPayment
4/11/11,Big Run,Big Run,Hershey park ,Hershey park ,Church Bus ,Tour ,Yes ,High ,Corporate - Existing ,Yes ,Moving or Traffic Violation ,Rewards
6/6/6,Gilberton,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Holiday ,No ,High ,Religous - New ,Yes ,Maintenance ,Personal Credit Card
10/12/9,Boswell,Jefferson,Kennywood Park ,Kennywood Park ,School Bus ,Funeral ,No ,High ,Corporate - Existing ,No ,Health Related ,Personal Credit Card
6/6/10,McVeytown,Liverpool,Kennywood Park ,Kennywood Park ,Sedan ,Holiday ,No ,None ,Religous - New ,Yes ,Weather ,Rewards
7/11/6,McVeytown,Cassandra,Hershey park ,Hershey park ,Van ,Birthday ,No ,Low ,Religous - New ,Yes ,Driver Error or Miscalculation ,Check
6/2/9,Fairview,Yorkana,Gettysburg ,Gettysburg ,Green Limo ,Private ,No ,High ,School District - New ,No ,Weather ,Personal Credit Card
12/4/2,Boswell,Jefferson,lost river caverns ,lost river caverns ,Ford Excursion ,Sporting Event ,Yes ,Medium ,Religous - New ,Yes ,Personal ,Credit
7/6/1,McVeytown,Gilberton,lost river caverns ,lost river caverns ,Van ,Wedding ,Yes ,High ,Individual - New ,Yes ,Personal ,Personal Credit Card
7/3/2,East Brady,Boswell,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Min Bus ,Holiday ,No ,None ,Individual - New ,No ,Personal ,Credit
4/9/12,Liverpool,Cassandra,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Church Bus ,Tour ,No ,High ,Individual - Existing ,No ,Maintenance ,Credit
5/11/8,Jefferson,Boswell,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Hummer Limo ,Graduation ,No ,None ,Individual - Existing ,No ,Weather ,Invoiced
8/9/11,New Paris,Cassandra,Dutch Wonderland ,Dutch Wonderland ,Hummer Limo ,Funeral ,Yes ,Low ,Religous - New ,Yes ,Moving or Traffic Violation ,Rewards
5/8/8,Gilberton,Gilberton,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Stretch ,Graduation ,Yes ,None ,Individual - Existing ,Yes ,Maintenance ,Invoiced
10/5/11,Gilberton,Cassandra,Kennywood Park ,Kennywood Park ,Ford Excursion ,Private ,No ,Medium ,Individual - New ,Yes ,Driver Error or Miscalculation ,Check
5/11/11,East Brady,Big Run,Waldameer and Water World ,Waldameer and Water World ,Min Bus ,Cruise ,Yes ,Low ,Religous - New ,No ,Weather ,Rewards
4/8/8,Liverpool,Boswell,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Stretch ,Anniversary ,Yes ,Medium ,Corporate - Existing ,No ,Accident ,Invoiced
8/1/5,Big Run,Boswell,Waldameer and Water World ,Waldameer and Water World ,Hummer Limo ,Anniversary ,No ,None ,School District - New ,No ,Driver Error or Miscalculation ,Rewards
8/2/2,Boswell,Jefferson,Philadelphia Zoo ,Philadelphia Zoo ,Min Bus ,Corporate ,Yes ,Medium ,Religous - New ,Yes , ,Credit
9/11/6,Jefferson,Liverpool,Sesame Place ,Sesame Place ,Min Bus ,Graduation ,Yes ,None ,Corporate - Existing ,No ,Accident ,Invoiced
5/6/12,McVeytown,East Brady,Dorney Park ,Dorney Park ,Min Bus ,Private ,No ,Medium ,School District - New ,Yes , ,Rewards
9/8/7,Adams,Cassandra,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Green Limo ,Birthday ,Yes ,Medium ,Corporate - New ,No ,Moving or Traffic Violation ,Invoiced
12/7/9,Cassandra,Yorkana,Dutch Wonderland ,Dutch Wonderland ,School Bus ,Sporting Event ,Yes ,High ,School District - Existing ,No ,Health Related ,Invoiced
8/10/9,Boswell,McVeytown,lost river caverns ,lost river caverns ,Ford Excursion ,Private ,No ,Medium ,School District - Existing ,Yes ,Health Related ,Check
9/5/7,McVeytown,Adams,Waldameer and Water World ,Waldameer and Water World ,School Bus ,Travel/Airport ,No ,None ,School District - New ,No ,Personal ,Credit
8/8/5,Boswell,New Paris,Waldameer and Water World ,Waldameer and Water World ,Ford Excursion ,Anniversary ,Yes ,Medium ,Corporate - Existing ,Yes ,Personal ,Rewards
12/3/10,New Paris,New Paris,Liberty Bell ,Liberty Bell ,Van ,Birthday ,Yes ,None ,School District - New ,No ,Health Related ,Invoiced
11/1/12,McVeytown,New Paris,lost river caverns ,lost river caverns ,Green Limo ,Travel/Airport ,Yes ,Low ,School District - New ,Yes ,Accident ,Invoiced
10/4/11,New Paris,Big Run,Gettysburg ,Gettysburg ,Towne Car ,Sporting Event ,No ,Low ,Corporate - Existing ,No ,Maintenance ,Rewards
7/12/7,New Paris,Adams,Philadelphia Zoo ,Philadelphia Zoo ,School Bus ,Holiday ,Yes ,High ,School District - Existing ,No ,Accident ,Check
7/10/8,Yorkana,Big Run,Kennywood Park ,Kennywood Park ,Hummer Limo ,Private ,No ,None ,School District - Existing ,No ,Health Related ,Rewards
1/8/10,McVeytown,Liverpool,Waldameer and Water World ,Waldameer and Water World ,Mini Van ,Graduation ,Yes ,High ,School District - Existing ,No ,Weather ,Check
10/7/12,Cassandra,McVeytown,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,School Bus ,Private ,Yes ,High ,Corporate - Existing ,Yes ,Personal ,Credit
10/5/11,Fairview,Cassandra,Sesame Place ,Sesame Place ,Church Bus ,Tour ,Yes ,Low ,School District - New ,Yes ,Health Related ,Invoiced
12/12/7,Jefferson,Cassandra,Kennywood Park ,Kennywood Park ,School Bus ,Funeral ,No ,Low ,Individual - Existing ,Yes ,Maintenance ,Personal Credit Card
9/9/10,New Paris,Liverpool,Waldameer and Water World ,Waldameer and Water World ,Hummer Limo ,Cruise ,No ,Low ,School District - New ,No ,Accident ,Rewards
5/10/2,Gilberton,Gilberton,Gettysburg ,Gettysburg ,Green Limo ,Travel/Airport ,No ,Low ,School District - New ,No ,Health Related ,Invoiced
7/4/2,Gilberton,Fairview,Dutch Wonderland ,Dutch Wonderland ,Green Limo ,Corporate ,No ,High ,Religous - Existing ,No , ,Credit
11/12/1,Gilberton,Gilberton,Kennywood Park ,Kennywood Park ,Green Limo ,Graduation ,Yes ,Low ,Individual - New ,Yes ,Driver Error or Miscalculation ,Rewards
12/6/1,McVeytown,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,Ford Excursion ,Cruise ,No ,Low ,School District - Existing ,No ,Health Related ,Credit
4/7/5,Jefferson,Fairview,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,School Bus ,Tour ,Yes ,Medium ,Individual - New ,No ,Maintenance ,Personal Credit Card
5/4/6,New Paris,Fairview,Gettysburg ,Gettysburg ,Hummer Limo ,Private ,No ,Medium ,School District - New ,Yes ,Maintenance ,Check
12/9/7,Fairview,Gilberton,Dorney Park ,Dorney Park ,Hummer Limo ,Cruise ,No ,Medium ,Corporate - New ,No ,Accident ,Rewards
11/3/1,Jefferson,Adams,Dorney Park ,Dorney Park ,Church Bus ,Funeral ,No ,Low ,School District - Existing ,Yes , ,Credit
7/1/12,Boswell,Boswell,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Hummer Limo ,Corporate ,No ,Medium ,School District - New ,No ,Driver Error or Miscalculation ,Personal Credit Card
1/7/3,New Paris,New Paris,Kennywood Park ,Kennywood Park ,Hummer Limo ,Cruise ,Yes ,None ,Religous - New ,Yes ,Moving or Traffic Violation ,Invoiced
10/7/5,Gilberton,Jefferson,Liberty Bell ,Liberty Bell ,Limo Bus ,Travel/Airport ,Yes ,Low ,Individual - New ,No ,Maintenance ,Credit
5/7/7,Fairview,Gilberton,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Green Limo ,Corporate ,No ,Low ,School District - Existing ,No ,Accident ,Credit
6/10/2,Liverpool,New Paris,lost river caverns ,lost river caverns ,Hummer Limo ,Private ,No ,Low ,Religous - Existing ,No ,Personal ,Cash
2/8/11,McVeytown,Cassandra,Dorney Park ,Dorney Park ,Limo Bus ,Cruise ,No ,High ,School District - New ,Yes ,Personal ,Credit
2/1/8,East Brady,East Brady,Liberty Bell ,Liberty Bell ,Church Bus ,Wedding ,Yes ,None ,School District - Existing ,No ,Health Related ,Rewards
9/8/7,East Brady,East Brady,Dutch Wonderland ,Dutch Wonderland ,Ford Excursion ,Cruise ,No ,Medium ,Religous - Existing ,No ,Health Related ,Rewards
10/6/12,New Paris,East Brady,Waldameer and Water World ,Waldameer and Water World ,Stretch ,Holiday ,No ,High ,Religous - Existing ,Yes ,Driver Error or Miscalculation ,Cash
1/11/8,Jefferson,Boswell,lost river caverns ,lost river caverns ,Ford Excursion ,Graduation ,No ,Low ,School District - Existing ,Yes ,Maintenance ,Invoiced
4/12/1,New Paris,Gilberton,Liberty Bell ,Liberty Bell ,Limo Bus ,Wedding ,Yes ,None ,School District - New ,No ,Health Related ,Credit
3/11/5,Boswell,Gilberton,lost river caverns ,lost river caverns ,Van ,Private ,Yes ,High ,Corporate - New ,Yes , ,Personal Credit Card
3/2/8,Adams,Adams,Liberty Bell ,Liberty Bell ,School Bus ,Corporate ,No ,Medium ,School District - Existing ,Yes ,Maintenance ,Personal Credit Card
7/5/10,East Brady,Boswell,Dutch Wonderland ,Dutch Wonderland ,Mini Van ,Cruise ,No ,Medium ,Individual - New ,Yes ,Weather ,Personal Credit Card
3/2/10,East Brady,Big Run,Liberty Bell ,Liberty Bell ,Church Bus ,Birthday ,Yes ,Low ,Corporate - Existing ,No ,Personal ,Invoiced
6/12/5,Liverpool,New Paris,Gettysburg ,Gettysburg ,Green Limo ,Sporting Event ,No ,None ,School District - New ,No ,Weather ,Credit
7/12/8,Adams,Yorkana,Sesame Place ,Sesame Place ,Church Bus ,Anniversary ,Yes ,Low ,Religous - New ,Yes , ,Invoiced
4/4/2,Yorkana,Big Run,Waldameer and Water World ,Waldameer and Water World ,Church Bus ,Travel/Airport ,Yes ,None ,Corporate - New ,Yes ,Moving or Traffic Violation ,Check
3/9/8,Adams,East Brady,Kennywood Park ,Kennywood Park ,Church Bus ,Funeral ,Yes ,Medium ,Corporate - New ,No ,Driver Error or Miscalculation ,Check
3/5/7,Gilberton,Adams,Liberty Bell ,Liberty Bell ,Van ,Travel/Airport ,Yes ,High ,School District - Existing ,No ,Health Related ,Credit
4/5/6,New Paris,Boswell,Gettysburg ,Gettysburg ,Ford Excursion ,Graduation ,Yes ,None ,School District - Existing ,No ,Personal ,Invoiced
9/4/10,East Brady,Liverpool,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Towne Car ,Anniversary ,No ,Low ,Religous - New ,Yes ,Driver Error or Miscalculation ,Credit
10/9/5,Yorkana,Adams,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,School Bus ,Corporate ,No ,Low ,School District - Existing ,Yes ,Weather ,Personal Credit Card
11/3/6,Fairview,McVeytown,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Limo Bus ,Anniversary ,Yes ,Low ,Individual - New ,Yes ,Personal ,Credit
9/3/10,Fairview,Boswell,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,School Bus ,Funeral ,Yes ,Medium ,Religous - Existing ,No ,Weather ,Personal Credit Card
8/5/7,Yorkana,Adams,Liberty Bell ,Liberty Bell ,Limo Bus ,Anniversary ,No ,Low ,Individual - Existing ,Yes , ,Cash
6/2/9,Gilberton,McVeytown,Liberty Bell ,Liberty Bell ,Hummer Limo ,Holiday ,Yes ,Low ,School District - Existing ,No ,Personal ,Check
9/4/1,Liverpool,Gilberton,Philadelphia Zoo ,Philadelphia Zoo ,Van ,Funeral ,Yes ,Low ,School District - Existing ,Yes ,Health Related ,Credit
2/10/12,Gilberton,Adams,Gettysburg ,Gettysburg ,Green Limo ,Cruise ,Yes ,Medium ,Individual - Existing ,No ,Driver Error or Miscalculation ,Invoiced
2/7/5,New Paris,East Brady,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Min Bus ,Private ,No ,Medium ,Corporate - New ,Yes ,Driver Error or Miscalculation ,Personal Credit Card
10/11/2,Adams,Boswell,Liberty Bell ,Liberty Bell ,Church Bus ,Graduation ,No ,None ,Corporate - Existing ,No ,Personal ,Personal Credit Card
2/4/10,Jefferson,Big Run,Sesame Place ,Sesame Place ,Ford Excursion ,Wedding ,Yes ,Medium ,Individual - New ,Yes ,Personal ,Cash
8/1/11,Yorkana,Jefferson,lost river caverns ,lost river caverns ,Church Bus ,Cruise ,No ,Low ,Individual - New ,No ,Maintenance ,Cash
12/10/11,Fairview,Adams,Philadelphia Zoo ,Philadelphia Zoo ,Min Bus ,Anniversary ,No ,High ,Individual - Existing ,No ,Driver Error or Miscalculation ,Credit
4/7/9,Big Run,Jefferson,Dutch Wonderland ,Dutch Wonderland ,Van ,Tour ,No ,Low ,Corporate - New ,Yes ,Accident ,Rewards
11/2/1,Yorkana,Cassandra,lost river caverns ,lost river caverns ,Mini Van ,Private ,Yes ,Low ,School District - Existing ,Yes ,Maintenance ,Cash
12/10/1,Jefferson,Boswell,Sesame Place ,Sesame Place ,Stretch ,Cruise ,Yes ,None ,Religous - Existing ,No ,Health Related ,Personal Credit Card
9/12/9,Big Run,East Brady,Gettysburg ,Gettysburg ,Towne Car ,Graduation ,No ,Medium ,Corporate - Existing ,Yes ,Accident ,Check
5/8/8,Liverpool,Gilberton,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,School Bus ,Cruise ,Yes ,High ,School District - Existing ,No ,Weather ,Cash
5/11/3,New Paris,Adams,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Hummer Limo ,Anniversary ,Yes ,Medium ,Religous - New ,No ,Maintenance ,Personal Credit Card
5/7/12,McVeytown,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,School Bus ,Cruise ,No ,None ,Individual - New ,No ,Personal ,Rewards
3/8/10,Big Run,Yorkana,Waldameer and Water World ,Waldameer and Water World ,Stretch ,Corporate ,No ,Medium ,Religous - New ,No ,Personal ,Cash
12/3/2,Fairview,Gilberton,Sesame Place ,Sesame Place ,Towne Car ,Wedding ,Yes ,High ,School District - Existing ,No ,Driver Error or Miscalculation ,Rewards
8/5/9,Gilberton,Jefferson,Philadelphia Zoo ,Philadelphia Zoo ,School Bus ,Cruise ,No ,Low ,Individual - Existing ,Yes ,Moving or Traffic Violation ,Check
3/12/7,McVeytown,Fairview,lost river caverns ,lost river caverns ,Ford Excursion ,Tour ,No ,None ,Corporate - New ,Yes ,Moving or Traffic Violation ,Rewards
4/4/6,East Brady,Big Run,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Sedan ,Corporate ,Yes ,Low ,Individual - New ,No ,Moving or Traffic Violation ,Credit
12/11/2,Gilberton,Jefferson,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Travel/Airport ,No ,High ,Religous - New ,Yes ,Moving or Traffic Violation ,Credit
11/4/5,Big Run,McVeytown,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Hummer Limo ,Private ,Yes ,None ,Corporate - New ,No ,Personal ,Rewards
5/1/7,Adams,Adams,Dorney Park ,Dorney Park ,Ford Excursion ,Tour ,Yes ,High ,School District - New ,No ,Driver Error or Miscalculation ,Personal Credit Card
9/5/11,Fairview,Big Run,Dorney Park ,Dorney Park ,Min Bus ,Holiday ,No ,High ,Corporate - New ,No ,Health Related ,Rewards
12/2/6,Cassandra,East Brady,Kennywood Park ,Kennywood Park ,Hummer Limo ,Funeral ,No ,None ,School District - New ,No ,Accident ,Check
3/4/4,Gilberton,McVeytown,Liberty Bell ,Liberty Bell ,Towne Car ,Private ,Yes ,High ,Religous - New ,No ,Health Related ,Rewards
1/11/7,Fairview,Cassandra,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Towne Car ,Sporting Event ,No ,Low ,Individual - Existing ,No , ,Cash
4/6/1,New Paris,McVeytown,Philadelphia Zoo ,Philadelphia Zoo ,Green Limo ,Graduation ,Yes ,Medium ,Individual - New ,Yes ,Health Related ,Credit
4/4/3,East Brady,Adams,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Hummer Limo ,Tour ,No ,Low ,School District - New ,Yes ,Health Related ,Invoiced
4/6/10,McVeytown,McVeytown,Hershey park ,Hershey park ,Ford Excursion ,Sporting Event ,No ,High ,Corporate - New ,No ,Weather ,Rewards
7/11/5,Big Run,New Paris,Waldameer and Water World ,Waldameer and Water World ,Hummer Limo ,Anniversary ,Yes ,Medium ,Religous - Existing ,No ,Moving or Traffic Violation ,Check
12/7/12,McVeytown,Boswell,lost river caverns ,lost river caverns ,Towne Car ,Funeral ,Yes ,High ,Religous - Existing ,Yes ,Accident ,Cash
12/5/10,McVeytown,Jefferson,Liberty Bell ,Liberty Bell ,Limo Bus ,Birthday ,Yes ,High ,School District - New ,No ,Accident ,Rewards
11/4/12,Gilberton,Yorkana,Hershey park ,Hershey park ,Mini Van ,Funeral ,Yes ,None ,Corporate - New ,No , ,Credit
5/10/10,New Paris,McVeytown,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Stretch ,Travel/Airport ,No ,Low ,School District - New ,No ,Health Related ,Personal Credit Card
12/12/10,East Brady,Jefferson,Hershey park ,Hershey park ,Min Bus ,Tour ,No ,Medium ,School District - Existing ,No ,Weather ,Invoiced
12/9/12,East Brady,Gilberton,Liberty Bell ,Liberty Bell ,Sedan ,Graduation ,Yes ,None ,School District - New ,Yes , ,Cash
5/6/3,Liverpool,Adams,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Limo Bus ,Travel/Airport ,No ,None ,School District - Existing ,Yes ,Driver Error or Miscalculation ,Check
1/11/12,East Brady,New Paris,Gettysburg ,Gettysburg ,School Bus ,Holiday ,Yes ,High ,School District - Existing ,Yes ,Health Related ,Personal Credit Card
10/6/5,McVeytown,McVeytown,Dorney Park ,Dorney Park ,Limo Bus ,Travel/Airport ,Yes ,High ,Religous - Existing ,Yes ,Moving or Traffic Violation ,Invoiced
3/11/11,Big Run,Cassandra,Waldameer and Water World ,Waldameer and Water World ,Van ,Cruise ,No ,Medium ,School District - Existing ,No ,Maintenance ,Cash
11/9/4,Adams,Jefferson,Kennywood Park ,Kennywood Park ,Hummer Limo ,Tour ,No ,Low ,Religous - Existing ,Yes ,Moving or Traffic Violation ,Credit
3/3/7,Yorkana,Boswell,Dorney Park ,Dorney Park ,Limo Bus ,Private ,Yes ,None ,School District - New ,No ,Personal ,Cash
9/9/1,East Brady,Jefferson,Kennywood Park ,Kennywood Park ,Hummer Limo ,Funeral ,No ,Low ,Individual - Existing ,Yes , ,Cash
1/3/3,Yorkana,Gilberton,Gettysburg ,Gettysburg ,Limo Bus ,Travel/Airport ,Yes ,Low ,Corporate - New ,No ,Health Related ,Personal Credit Card
1/3/5,Gilberton,McVeytown,Gettysburg ,Gettysburg ,Van ,Graduation ,No ,None ,School District - New ,Yes ,Personal ,Check
12/9/4,Boswell,East Brady,Sesame Place ,Sesame Place ,Church Bus ,Cruise ,No ,High ,Individual - New ,Yes ,Maintenance ,Personal Credit Card
2/1/6,Yorkana,Adams,Dorney Park ,Dorney Park ,Towne Car ,Sporting Event ,No ,Low ,Individual - New ,No , ,Personal Credit Card
11/1/12,New Paris,Gilberton,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Van ,Anniversary ,Yes ,High ,School District - Existing ,No ,Accident ,Cash
11/3/11,McVeytown,Fairview,Philadelphia Zoo ,Philadelphia Zoo ,Limo Bus ,Private ,No ,High ,Individual - Existing ,No ,Health Related ,Cash
11/7/2,Adams,Yorkana,Gettysburg ,Gettysburg ,School Bus ,Private ,No ,Medium ,School District - New ,Yes ,Moving or Traffic Violation ,Personal Credit Card
5/1/5,Big Run,Fairview,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Mini Van ,Wedding ,Yes ,None ,Individual - New ,No , ,Personal Credit Card
7/6/6,Fairview,Adams,lost river caverns ,lost river caverns ,Towne Car ,Private ,Yes ,Low ,Corporate - New ,Yes ,Driver Error or Miscalculation ,Rewards
3/8/9,Adams,Boswell,Kennywood Park ,Kennywood Park ,Sedan ,Cruise ,Yes ,Low ,Individual - Existing ,Yes ,Weather ,Personal Credit Card
5/6/1,Big Run,Jefferson,Dutch Wonderland ,Dutch Wonderland ,Mini Van ,Holiday ,No ,High ,Religous - New ,No ,Health Related ,Check
7/11/12,Liverpool,Cassandra,Liberty Bell ,Liberty Bell ,Min Bus ,Cruise ,No ,Medium ,Individual - New ,Yes ,Personal ,Invoiced
1/8/3,New Paris,New Paris,lost river caverns ,lost river caverns ,Stretch ,Corporate ,Yes ,Low ,School District - New ,Yes , ,Check
8/6/8,Jefferson,McVeytown,Philadelphia Zoo ,Philadelphia Zoo ,Min Bus ,Birthday ,Yes ,Low ,Corporate - New ,No ,Health Related ,Personal Credit Card
7/11/6,Adams,Liverpool,Dutch Wonderland ,Dutch Wonderland ,Van ,Sporting Event ,Yes ,None ,Individual - Existing ,Yes ,Moving or Traffic Violation ,Personal Credit Card
11/3/3,Gilberton,Yorkana,Sesame Place ,Sesame Place ,Hummer Limo ,Corporate ,No ,Low ,Corporate - Existing ,Yes ,Weather ,Cash
1/5/10,Boswell,Cassandra,Sesame Place ,Sesame Place ,Limo Bus ,Travel/Airport ,Yes ,Medium ,Corporate - New ,Yes , ,Invoiced
7/5/3,Boswell,McVeytown,Gettysburg ,Gettysburg ,Min Bus ,Sporting Event ,Yes ,Low ,Corporate - Existing ,Yes ,Moving or Traffic Violation ,Invoiced
10/3/6,Jefferson,Yorkana,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Limo Bus ,Cruise ,No ,None ,Individual - Existing ,Yes ,Maintenance ,Rewards
11/3/7,East Brady,McVeytown,Liberty Bell ,Liberty Bell ,Ford Excursion ,Birthday ,Yes ,Medium ,Religous - Existing ,Yes , ,Cash
11/11/10,Fairview,Yorkana,Waldameer and Water World ,Waldameer and Water World ,Stretch ,Anniversary ,Yes ,None ,Individual - Existing ,No ,Driver Error or Miscalculation ,Check
11/9/9,McVeytown,McVeytown,Kennywood Park ,Kennywood Park ,Min Bus ,Graduation ,Yes ,High ,Corporate - Existing ,Yes ,Personal ,Rewards
4/2/8,McVeytown,Adams,Liberty Bell ,Liberty Bell ,Church Bus ,Holiday ,No ,High ,School District - New ,No ,Maintenance ,Check
5/3/2,Liverpool,Yorkana,Sesame Place ,Sesame Place ,Mini Van ,Tour ,Yes ,Low ,Religous - New ,No ,Weather ,Credit
7/6/4,Big Run,East Brady,Philadelphia Zoo ,Philadelphia Zoo ,Church Bus ,Graduation ,No ,Low ,School District - New ,Yes ,Personal ,Cash
4/3/6,East Brady,Adams,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Hummer Limo ,Cruise ,Yes ,High ,Religous - Existing ,Yes , ,Rewards
6/1/10,East Brady,East Brady,Sesame Place ,Sesame Place ,Towne Car ,Graduation ,Yes ,High ,Religous - Existing ,No ,Accident ,Invoiced
11/12/3,Gilberton,East Brady,lost river caverns ,lost river caverns ,Green Limo ,Wedding ,Yes ,None ,Corporate - Existing ,Yes ,Driver Error or Miscalculation ,Personal Credit Card
4/7/10,Boswell,Yorkana,Philadelphia Zoo ,Philadelphia Zoo ,Stretch ,Sporting Event ,No ,None ,School District - Existing ,Yes ,Moving or Traffic Violation ,Invoiced
6/5/5,New Paris,Cassandra,Gettysburg ,Gettysburg ,School Bus ,Sporting Event ,Yes ,High ,Individual - Existing ,Yes ,Weather ,Personal Credit Card
6/2/5,Adams,Cassandra,Hershey park ,Hershey park ,Ford Excursion ,Sporting Event ,Yes ,Medium ,Individual - Existing ,No ,Moving or Traffic Violation ,Invoiced
2/5/6,Cassandra,New Paris,Dutch Wonderland ,Dutch Wonderland ,Ford Excursion ,Birthday ,Yes ,Medium ,School District - Existing ,No ,Moving or Traffic Violation ,Rewards
10/8/11,New Paris,Jefferson,Dutch Wonderland ,Dutch Wonderland ,Sedan ,Holiday ,Yes ,Low ,Corporate - New ,Yes , ,Credit
11/10/11,McVeytown,Adams,Sesame Place ,Sesame Place ,Van ,Wedding ,Yes ,Low ,Corporate - Existing ,No ,Personal ,Check
5/2/9,Cassandra,East Brady,Sesame Place ,Sesame Place ,Van ,Cruise ,No ,High ,Religous - New ,Yes ,Accident ,Credit
3/4/2,McVeytown,Yorkana,Philadelphia Zoo ,Philadelphia Zoo ,School Bus ,Funeral ,No ,High ,Religous - New ,Yes ,Moving or Traffic Violation ,Cash
11/11/4,Adams,New Paris,Hershey park ,Hershey park ,Mini Van ,Tour ,Yes ,Low ,Corporate - Existing ,Yes , ,Personal Credit Card
9/6/2,Cassandra,Gilberton,Dutch Wonderland ,Dutch Wonderland ,Sedan ,Birthday ,No ,None ,Religous - New ,No ,Driver Error or Miscalculation ,Invoiced
11/4/7,Liverpool,Jefferson,Kennywood Park ,Kennywood Park ,Min Bus ,Corporate ,Yes ,None ,School District - Existing ,Yes ,Weather ,Rewards
12/2/2,Adams,Boswell,Dorney Park ,Dorney Park ,Church Bus ,Tour ,No ,High ,Religous - Existing ,Yes ,Maintenance ,Cash
10/8/2,Adams,Cassandra,Philadelphia Zoo ,Philadelphia Zoo ,Sedan ,Graduation ,No ,Low ,Religous - New ,Yes ,Moving or Traffic Violation ,Rewards
12/6/7,Big Run,Cassandra,Hershey park ,Hershey park ,Towne Car ,Private ,No ,Low ,Corporate - Existing ,Yes ,Weather ,Check
8/9/6,Adams,Liverpool,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Sedan ,Funeral ,Yes ,High ,Religous - Existing ,Yes , ,Check
8/9/3,Liverpool,Adams,Dorney Park ,Dorney Park ,Min Bus ,Wedding ,Yes ,None ,School District - Existing ,Yes ,Accident ,Check
1/4/1,Yorkana,Yorkana,Dutch Wonderland ,Dutch Wonderland ,Green Limo ,Corporate ,No ,None ,School District - Existing ,No ,Weather ,Cash
11/4/10,Jefferson,Big Run,Dutch Wonderland ,Dutch Wonderland ,Mini Van ,Wedding ,Yes ,Medium ,Individual - Existing ,No ,Driver Error or Miscalculation ,Personal Credit Card
6/12/10,Cassandra,Big Run,Kennywood Park ,Kennywood Park ,Ford Excursion ,Wedding ,Yes ,None ,Religous - New ,No ,Maintenance ,Personal Credit Card
9/9/4,Adams,Boswell,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Hummer Limo ,Travel/Airport ,No ,None ,School District - Existing ,No ,Personal ,Credit
5/11/5,East Brady,Big Run,lost river caverns ,lost river caverns ,Towne Car ,Sporting Event ,Yes ,None ,Religous - New ,Yes ,Weather ,Credit
1/7/4,Yorkana,Cassandra,Kennywood Park ,Kennywood Park ,Towne Car ,Travel/Airport ,No ,Low ,Corporate - Existing ,Yes , ,Rewards
9/4/4,Gilberton,Yorkana,Sesame Place ,Sesame Place ,Mini Van ,Holiday ,No ,Medium ,Corporate - Existing ,No , ,Credit
2/1/9,Boswell,Cassandra,Carnegie Museum of Natural History ,Carnegie Museum of Natural History ,Mini Van ,Tour ,No ,Medium ,School District - New ,Yes ,Driver Error or Miscalculation ,Personal Credit Card
9/2/8,Liverpool,Yorkana,Gettysburg ,Gettysburg ,Min Bus ,Graduation ,No ,Medium ,Individual - Existing ,No ,Personal ,Invoiced
4/8/11,McVeytown,Jefferson,King of Prussia Shopping Mall ,King of Prussia Shopping Mall ,Min Bus ,Travel/Airport ,No ,Low ,Individual - New ,Yes ,Personal ,Credit
9/2/3,Big Run,Cassandra,Kennywood Park ,Kennywood Park ,School Bus ,Tour ,Yes ,Low ,Corporate - New ,Yes ,Weather ,Invoiced
5/2/8,Yorkana,Liverpool,Gettysburg ,Gettysburg ,School Bus ,Corporate ,No ,High ,Corporate - New ,No ,Accident ,Cash
